County,State,COUNTY_STATE,2019 County Designation,2018 County Designation,Specialty,2019 Distance (miles),2019 Time (minutes),2018 Distance (miles),2018 Time (minutes),Reason for Change,Time change,Distance change
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Critical Care Services/Intensive Care Units,140,155,30,45,County Change,110,110
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Cardiac Catheterization Services,140,155,40,60,County Change,95,100
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Cardiac Surgery Program,140,155,40,60,County Change,95,100
Jackson,IL,"Jackson, IL",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Christian,KY,"Christian, KY",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Rapides,LA,"Rapides, LA",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Cardiothoracic Surgery,130,145,40,60,County Change,85,90
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Endocrinology,130,145,40,60,County Change,85,90
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Infectious Diseases,130,145,40,60,County Change,85,90
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Neurosurgery,130,145,40,60,County Change,85,90
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Oncology - Radiation/ Radiation Oncology,130,145,40,60,County Change,85,90
Kalawao,HI,"Kalawao, HI",CEAC,Metro,Plastic Surgery,130,145,40,60,County Change,85,90
Aguas Buenas,PR,"Aguas Buenas, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Aibonito,PR,"Aibonito, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Anasco,PR,"Anasco, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Barranquitas,PR,"Barranquitas, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Cabo Rojo,PR,"Cabo Rojo, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Camuy,PR,"Camuy, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Cayey,PR,"Cayey, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Ceiba,PR,"Ceiba, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Ciales,PR,"Ciales, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
Comerio,PR,"Comerio, PR",Micro,Metro,Critical Care Services/Intensive Care Units,120,160,30,45,County Change,115,90
