"","GEOID","NAME.x","pop_2017","pop_2018","pop_change"
"1","01001","Autauga County, Alabama",55036,55200,0.297986772294498
"2","01003","Baldwin County, Alabama",203360,208107,2.33428402832415
"3","01005","Barbour County, Alabama",26201,25782,-1.59917560398458
"4","01007","Bibb County, Alabama",22580,22527,-0.234720992028344
"5","01009","Blount County, Alabama",57667,57645,-0.0381500684967139
"6","01011","Bullock County, Alabama",10478,10352,-1.20251956480244
"7","01013","Butler County, Alabama",20126,20025,-0.501838417966809
"8","01015","Calhoun County, Alabama",115527,115098,-0.3713417642629
"9","01017","Chambers County, Alabama",33895,33826,-0.203569848060186
"10","01019","Cherokee County, Alabama",25855,25853,-0.007735447689035
"11","01021","Chilton County, Alabama",43805,43930,0.285355553019062
"12","01023","Choctaw County, Alabama",13188,13075,-0.856839551107067
"13","01025","Clarke County, Alabama",24625,24387,-0.966497461928934
"14","01027","Clay County, Alabama",13407,13378,-0.216304915342731
"15","01029","Cleburne County, Alabama",14939,14938,-0.00669388847981793
"16","01031","Coffee County, Alabama",51073,51288,0.420966068176923
"17","01033","Colbert County, Alabama",54435,54495,0.110223201984018
"18","01035","Conecuh County, Alabama",12649,12514,-1.06727804569531
"19","01037","Coosa County, Alabama",10955,10855,-0.912825193975354
"20","01039","Covington County, Alabama",37519,37351,-0.447773128281671
"21","01041","Crenshaw County, Alabama",13866,13865,-0.00721188518678783
"22","01043","Cullman County, Alabama",81703,82313,0.746606611752322
"23","01045","Dale County, Alabama",49393,49255,-0.279391816654182
"24","01047","Dallas County, Alabama",40755,40029,-1.78137651821862
"25","01049","DeKalb County, Alabama",71194,71200,0.00842767648959182
"26","01051","Elmore County, Alabama",80989,81212,0.27534603464668
"27","01053","Escambia County, Alabama",37621,37328,-0.778820339703889
"28","01055","Etowah County, Alabama",103132,102939,-0.187138812395765
"29","01057","Fayette County, Alabama",16657,16585,-0.432250705409137
"30","01059","Franklin County, Alabama",31507,31542,0.111086425238836
"31","01061","Geneva County, Alabama",26572,26491,-0.304832154147223
"32","01063","Greene County, Alabama",8533,8426,-1.25395523262627
"33","01065","Hale County, Alabama",14995,14887,-0.720240080026676
"34","01067","Henry County, Alabama",17110,17124,0.0818234950321449
"35","01069","Houston County, Alabama",104108,104352,0.234371998309448
"36","01071","Jackson County, Alabama",52326,52094,-0.443374230783932
"37","01073","Jefferson County, Alabama",659460,659892,0.0655081430261123
"38","01075","Lamar County, Alabama",14021,13933,-0.627629983596035
"39","01077","Lauderdale County, Alabama",92590,92585,-0.00540015120423372
"40","01079","Lawrence County, Alabama",33288,33171,-0.351478010093727
"41","01081","Lee County, Alabama",156597,159287,1.71778514275497
"42","01083","Limestone County, Alabama",91695,93052,1.47990621080757
"43","01085","Lowndes County, Alabama",10362,10236,-1.21598147075854
"44","01087","Macon County, Alabama",19358,19054,-1.5704101663395
"45","01089","Madison County, Alabama",353213,357560,1.23070215422422
"46","01091","Marengo County, Alabama",19743,19538,-1.0383427037431
"47","01093","Marion County, Alabama",30058,29965,-0.309401823141926
"48","01095","Marshall County, Alabama",94738,95145,0.429605860372818
"49","01097","Mobile County, Alabama",414328,414659,0.0798883975980383
"50","01099","Monroe County, Alabama",21745,21512,-1.07151069211313
"51","01101","Montgomery County, Alabama",227120,226941,-0.0788129623106728
"52","01103","Morgan County, Alabama",119157,119122,-0.0293730120765041
"53","01105","Perry County, Alabama",9680,9486,-2.00413223140496
"54","01107","Pickens County, Alabama",20170,20298,0.634605850272682
"55","01109","Pike County, Alabama",33287,33403,0.348484393306696
"56","01111","Randolph County, Alabama",22530,22574,0.195295162006214
"57","01113","Russell County, Alabama",58480,58213,-0.45656634746922
"58","01115","St. Clair County, Alabama",86937,87306,0.424445287967149
"59","01117","Shelby County, Alabama",208721,211261,1.21693552637253
"60","01119","Sumter County, Alabama",13084,12985,-0.756649342708652
"61","01121","Talladega County, Alabama",80888,80565,-0.399317574918406
"62","01123","Tallapoosa County, Alabama",40756,40636,-0.294435175188929
"63","01125","Tuscaloosa County, Alabama",204424,206213,0.875141862012288
"64","01127","Walker County, Alabama",64927,64493,-0.668443020623161
"65","01129","Washington County, Alabama",16746,16643,-0.615072256061149
"66","01131","Wilcox County, Alabama",10919,10809,-1.00741826174558
"67","01133","Winston County, Alabama",23968,23875,-0.3880173564753
"68","02013","Aleutians East Borough, Alaska",3338,3425,2.60635110844817
"69","02016","Aleutians West Census Area, Alaska",5784,5750,-0.587828492392808
"70","02020","Anchorage Municipality, Alaska",298225,296112,-0.708525442199681
"71","02050","Bethel Census Area, Alaska",17957,18040,0.462215292086651
"72","02060","Bristol Bay Borough, Alaska",917,890,-2.94438386041439
"73","02068","Denali Borough, Alaska",2303,2232,-3.08293530178029
"74","02070","Dillingham Census Area, Alaska",4974,4975,0.0201045436268597
"75","02090","Fairbanks North Star Borough, Alaska",100031,99653,-0.377882856314542
"76","02100","Haines Borough, Alaska",2537,2518,-0.748916042569965
"77","02105","Hoonah-Angoon Census Area, Alaska",2146,2132,-0.65237651444548
"78","02110","Juneau City and Borough, Alaska",32434,32330,-0.320651168526855
"79","02122","Kenai Peninsula Borough, Alaska",57961,58220,0.446852193716465
"80","02130","Ketchikan Gateway Borough, Alaska",13745,13804,0.429246998908694
"81","02150","Kodiak Island Borough, Alaska",13773,13649,-0.900312205038844
"82","02158","Kusilvak Census Area, Alaska",8129,8198,0.848812892114651
"83","02164","Lake and Peninsula Borough, Alaska",1301,1375,5.68793235972329
"84","02170","Matanuska-Susitna Borough, Alaska",101135,103464,2.30286251050576
"85","02180","Nome Census Area, Alaska",9869,9925,0.567433377241868
"86","02185","North Slope Borough, Alaska",9757,9797,0.409962078507738
"87","02188","Northwest Arctic Borough, Alaska",7715,7734,0.246273493195075
"88","02195","Petersburg Borough, Alaska",3275,3255,-0.610687022900763
"89","02198","Prince of Wales-Hyder Census Area, Alaska",6473,6474,0.0154487872701993
"90","02220","Sitka City and Borough, Alaska",8810,8738,-0.817253121452895
"91","02230","Skagway Municipality, Alaska",1038,1061,2.21579961464355
"92","02240","Southeast Fairbanks Census Area, Alaska",6889,6876,-0.188706633763972
"93","02261","Valdez-Cordova Census Area, Alaska",9439,9301,-1.46201928170357
"94","02275","Wrangell City and Borough, Alaska",2475,2484,0.363636363636364
"95","02282","Yakutat City and Borough, Alaska",682,689,1.02639296187683
"96","02290","Yukon-Koyukuk Census Area, Alaska",5453,5415,-0.696864111498258
"97","04001","Apache County, Arizona",71602,71522,-0.111728722661378
"98","04003","Cochise County, Arizona",126516,126279,-0.187328084985298
"99","04005","Coconino County, Arizona",138639,140217,1.13820786358817
"100","04007","Gila County, Arizona",53145,53400,0.479819362122495
"101","04009","Graham County, Arizona",37700,37879,0.474801061007958
"102","04011","Greenlee County, Arizona",9368,9504,1.45175064047822
"103","04012","La Paz County, Arizona",20477,20701,1.09391024075792
"104","04013","Maricopa County, Arizona",4155501,4253913,2.36823429954655
"105","04015","Mohave County, Arizona",204691,206064,0.670767156347861
"106","04017","Navajo County, Arizona",107902,108705,0.744193805490167
"107","04019","Pima County, Arizona",1007257,1019722,1.23751932227823
"108","04021","Pinal County, Arizona",405537,419721,3.49758468401157
"109","04023","Santa Cruz County, Arizona",46358,46584,0.487510246343673
"110","04025","Yavapai County, Arizona",220972,224645,1.66220154589722
"111","04027","Yuma County, Arizona",204281,207829,1.73682329732085
"112","05001","Arkansas County, Arkansas",18352,18124,-1.24237140366173
"113","05003","Ashley County, Arkansas",20771,20537,-1.126570699533
"114","05005","Baxter County, Arkansas",41093,41219,0.306621565716789
"115","05007","Benton County, Arkansas",251823,258980,2.84207558483538
"116","05009","Boone County, Arkansas",37212,37288,0.204235192948511
"117","05011","Bradley County, Arkansas",10994,10948,-0.418410041841004
"118","05013","Calhoun County, Arkansas",5194,5202,0.154023873700424
"119","05015","Carroll County, Arkansas",27782,27887,0.377942552731985
"120","05017","Chicot County, Arkansas",11008,10826,-1.65334302325581
"121","05019","Clark County, Arkansas",22495,22385,-0.488997555012225
"122","05021","Clay County, Arkansas",15190,15061,-0.849242922975642
"123","05023","Cleburne County, Arkansas",25361,25230,-0.51654114585387
"124","05025","Cleveland County, Arkansas",8332,8226,-1.27220355256841
"125","05027","Columbia County, Arkansas",23992,23892,-0.416805601867289
"126","05029","Conway County, Arkansas",20954,20906,-0.229073207979383
"127","05031","Craighead County, Arkansas",104246,105701,1.3957370066957
"128","05033","Crawford County, Arkansas",62119,62472,0.568264138186384
"129","05035","Crittenden County, Arkansas",49278,49013,-0.537765331385202
"130","05037","Cross County, Arkansas",17164,16998,-0.967140526683757
"131","05039","Dallas County, Arkansas",7585,7432,-2.01713909030982
"132","05041","Desha County, Arkansas",12094,11887,-1.71159252521912
"133","05043","Drew County, Arkansas",18620,18502,-0.633727175080559
"134","05045","Faulkner County, Arkansas",121282,122416,0.935010966177998
"135","05047","Franklin County, Arkansas",17803,17780,-0.129191709262484
"136","05049","Fulton County, Arkansas",12092,12139,0.388686735031426
"137","05051","Garland County, Arkansas",97994,98296,0.308182133600016
"138","05053","Grant County, Arkansas",18076,18086,0.0553219738880283
"139","05055","Greene County, Arkansas",44197,44623,0.963866325768717
"140","05057","Hempstead County, Arkansas",22154,22018,-0.61388462580121
"141","05059","Hot Spring County, Arkansas",33480,33520,0.1194743130227
"142","05061","Howard County, Arkansas",13472,13389,-0.616092636579572
"143","05063","Independence County, Arkansas",37097,37264,0.450171172871122
"144","05065","Izard County, Arkansas",13521,13559,0.281044301456993
"145","05067","Jackson County, Arkansas",17429,17225,-1.17046302140111
