Program,URL,Department,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Medicare *FY2017,https://www.medicare.gov/index,HHS,11403472000,1309136000,12818195000,7519024000,70224300000,8469833000,9573113000,3086554000,1496988000,50316897000,18896507000,1973222000,3083396000,29473293000,15786163000,7432112000,6889284000,11307893000,10961058000,3677806000,16589482000,18644742000,24378648000,10972242000,8675676000,14079028000,2362159000,4568962000,5594515000,3754903000,24725920000,3809972000,46124363000,22298142000,1730010000,25753117000,10090932000,6853548000,29656325000,2108042000,12489181000,2207298000,14541615000,50065391000,3678147000,1871316000,17629955000,13045323000,5336523000,11363404000,1402873000
Medicaid *FY2017,https://www.medicaid.gov/,HHS,4068128000,1437360000,9168872000,5233552000,52251053000,4738243000,4581203000,1400746000,2175606000,14627654000,7251905000,1609715000,1372954000,9949814000,8370623000,2673861000,1954836000,7583709000,7939911000,1777811000,7065053000,9978555000,12568266000,6930019000,4227454000,6678010000,1482366000,1145760000,2775335000,1297338000,9399266000,3858465000,38531701000,9411458000,817678000,16478815000,2983507000,6513327000,17742316000,1664801000,4466748000,531828000,6298350000,21078511000,1807476000,1040439000,4811942000,7997273000,3277360000,5033472000,343345000
Supplemental Nutrition Assistance Program,https://www.fns.usda.gov/snap/supplemental-nutrition-assistance-program,USDA,1254835320,175483424,1402230493,577775082,7237700086,728042703,685510011,220683314,210436410,5216754147,2663017763,484225008,255423930,3040976772,1068458926,507597206,342324968,980976984,1494495292,254898802,1079151904,1189716303,2167714845,602563639,814420697,1182957874,166365465,240677417,629519652,120552019,1223052433,693426783,4922406430,2248946897,78700888,2396032919,885643482,1072982185,2729024683,271959596,1222104228,144590242,1672282240,5308544560,301869697,116470075,1169412644,1452893518,499059458,922851050,48510210
Highway Planning and Construction,https://www.federalgrantswire.com/highway-planning-and-construction.html,DOT,797046829,550503380,731776875,572385237,3543298741,641923739,514876948,190057439,168585286,1903288624,1348487982,82140212,299697316,1530790690,962971891,511582769,397153908,737677975,724112238,193473217,599159884,670674565,1116401469,659896484,528658444,967234062,441147063,324505843,357425690,174155111,762823698,386013375,1832060578,1043576154,264780684,1429624834,681522318,506975879,1967464015,215231118,691516916,299654250,825266381,3330264684,379255946,216999341,1024381647,682958983,472394314,747536188,269858060
Section 8 Housing Choice Vouchers,https://www.hud.gov/topics/housing_choice_voucher_program_section_8,HUD,194272000,41973000,172605000,98153000,3545946000,258262000,403013000,40629000,200816000,878547000,508669000,120946000,39589000,926672000,209448000,97702000,65279000,203933000,357712000,85397000,550772000,979548000,362649000,237106000,156908000,243143000,32344000,68456000,141749000,84289000,740745000,75625000,2480014000,370210000,36194000,561927000,135796000,245500000,609804000,84113000,157024000,30457000,224524000,1045058000,75540000,53056000,402768000,509706000,74190000,154318000,14088000
Very Low to Moderate Income Housing Loans,https://www.federalgrantswire.com/very-low-to-moderate-income-housing-loans.html#.XiXbir9OnOQ,USDA,435108296,112014712,234385031,384157930,512261295,243896069,108242639,131474188,0,608013181,548932461,182283030,171424210,309755034,572929900,213545990,124715928,466716929,616987026,266728827,444985128,163310984,667887608,475752332,363885442,586342341,164810948,99395630,115519804,130616190,120154190,46350437,214100490,887731855,50109952,516562039,248818239,376461086,610322282,23004324,506496548,160044687,824129062,649059465,371351996,75986637,587360809,446692303,229696497,329658598,174790775
Title I Grants to Local Education Agencies,https://www2.ed.gov/programs/titleiparta/index.html,ED,230728658,39266561,344902908,158953454,1749000363,154500468,121022224,46056527,44194532,802560933,517752991,49903423,59331683,682473823,265424621,94888730,109134862,217989343,292153833,52413444,206626467,238963767,510318933,158612024,195395247,243449963,46622762,71155073,120121711,41409301,343129691,127689674,1140729371,430725576,37011329,577542546,162085622,145951242,567812540,50810547,234943390,57027773,295105695,1367579292,89696087,34509182,251414442,242701346,91804601,216069361,34786982
State Children's Health Insurance Program,https://www.healthcare.gov/medicaid-chip/childrens-health-insurance-program/,HHS,457272000,20378000,123658000,174524000,1995222000,228329000,61880000,38531000,25629000,594955000,418168000,46343000,66420000,406234000,165657000,147611000,112201000,232038000,238943000,32289000,290765000,535767000,592609000,98575000,246726000,172903000,95823000,78189000,63304000,39174000,406770000,122483000,1074559000,448151000,21240000,352648000,189238000,211331000,365076000,65427000,162037000,23572000,213273000,1345138000,148911000,29299000,265185000,215289000,65439000,225824000,10917000
National School Lunch Program,https://www.fns.usda.gov/nslp,USDA,219343000,35419000,278118000,134994000,1471536000,134305000,98891000,36358000,28071000,821088000,529921000,45191000,54065000,462430000,260970000,107955000,106497000,222013000,227359000,34497000,174270000,189451000,301196000,165375000,175472000,210185000,27686000,69791000,100175000,23032000,261056000,100977000,697620000,380892000,20147000,362160000,170704000,117760000,369272000,30893000,210913000,31132000,278804000,1444300000,99481000,15358000,241811000,201584000,76536000,170789000,14931000
Special Education Grants,https://www2.ed.gov/fund/grant/apply/osep/index.html,ED,185979742,37544473,203647415,114479836,1251509026,160911478,136095761,36115385,18327735,659321205,342114770,40732093,58005840,518151872,264899312,125776786,109746957,161793751,193084998,56773624,204738940,290895676,409856211,196437300,126423874,232777258,39037996,76256524,75030369,48632671,370455121,194908708,777387531,340987573,36898146,446963758,152045029,131743911,436302376,44818637,174981336,46461641,243342101,1022593712,114313148,28386923,290899808,230436683,77835286,212142310,30552629
