Program,CFDA,Agency,FY2017Expenditures,Category,,
Payments to Agricultural Experiment Stations Under the Hatch Act,10.203,USDA,"$228,105,000 ",Financial Assistance Programs,,
Payments to 1890 Land-Grant Colleges and Tuskegee University,10.205,USDA,"$50,780,000 ",Financial Assistance Programs,,
Rural Business Development Grant,10.351,USDA,"$33,000,000 ",Financial Assistance Programs,,
Farm Labor Housing Loans and Grants,10.405,USDA,"$34,900,000 ",Financial Assistance Programs,,
Very Low to Moderate Income Housing Loans (Section 502),10.410,USDA,"$20,279,908,000 ",Financial Assistance Programs,,
Rural Housing Site Loans and Self-Help Housing Land Development Loans,10.411,USDA,"$1,000,000 ",Financial Assistance Programs,,
Rural Rental Housing Loans (Section 515),10.415,USDA,"$33,205,000 ",Financial Assistance Programs,,
Single Family Housing Repair Loans and Grants (Section 504),10.417,USDA,"$48,512,000 ",Financial Assistance Programs,,
Rural Self-Help Housing Technical Assistance,10.420,USDA,"$27,627,000 ",Financial Assistance Programs,,
Rural Rental Assistance Payments (Section 521),10.427,USDA,"$1,365,019,000 ",Financial Assistance Programs,,
Rural Housing Preservation Grants (Section 533),10.433,USDA,"$4,891,000 ",Financial Assistance Programs,,
Rural Rental Housing Guaranteed Loans (Section 538),10.438,USDA,"$176,970,000 ",Financial Assistance Programs,,
Rural Community Development Initiative,10.446,USDA,"$4,000,000 ",Financial Assistance Programs,,
Rural Development Multi-Family Housing Revitalization Demonstration Program,10.447,USDA,"$37,000,000 ",Financial Assistance Programs,,
Rural Development Multi-Family Housing Rural Housing Voucher Demonstration Program,10.448,USDA,"$22,000,000 ",Financial Assistance Programs,,
Cooperative Extension Service,10.500,USDA,"$455,489,000 ",Financial Assistance Programs,,
Rural Child Poverty Nutrition Center,10.549,USDA,"$529,000 ",Financial Assistance Programs,,
Supplemental Nutrition Assistance Program,10.551,USDA,"$67,754,435,000 ",Financial Assistance Programs,,
School Breakfast Program,10.553,USDA,"$4,807,380,000 ",Financial Assistance Programs,,
"Supplemental Nutrition Program for Women, Infants, and Children",10.557,USDA,"$6,512,698,000 ",Financial Assistance Programs,,
Summer Food Service Program,10.559,USDA,"$505,695,000 ",Financial Assistance Programs,,
Emergency Food Assistance Program (Administrative Costs),10.568,USDA,"$77,931,000 ",Financial Assistance Programs,,
Emergency Food Assistance Program (Food Commodities),10.569,USDA,"$291,340,000 ",Financial Assistance Programs,,
Fresh Fruit and Vegetable Program,10.582,USDA,"$297,000,000 ",Financial Assistance Programs,,
"Healthy, Hunger-Free Kids Act of 2010 Childhood Hunger Research and Demonstration Projects",10.592,USDA,"$8,000,000",Financial Assistance Programs,,
Schools and Roads - Grants to States,10.665,USDA,"$10,280,000 ",Financial Assistance Programs,,
Water and Waste Disposal Systems for Rural Communities,10.760,USDA,"$1,755,743,000 ",Financial Assistance Programs,,
